ticker,industry
INTT,Semiconductors
AIRS,Healthcare Services
VERU,Pharmaceuticals and Biotechnology
FERG,Other Business Products and Services
TH,Restaurants, Hotels and Leisure
SGRY,Healthcare Services
CECO,Commercial Products
AXSM,Pharmaceuticals and Biotechnology
CEVA,Semiconductors
AIOT,Software
QVCGA,Retail
NABL,Software
BBGI,Media
SNDA,Healthcare Services
FSTR,Commercial Products
HRTX,Pharmaceuticals and Biotechnology
IRON,Pharmaceuticals and Biotechnology
MPAA,Consumer Durables
OPAL,Other Energy
CNDT,Commercial Services
TLS,IT Services
QTRX,Healthcare Devices and Supplies
GCMG,Capital Markets/Institutions
TNXP,Pharmaceuticals and Biotechnology
JRSH,Apparel and Accessories
LINC,Services (Non-Financial)
SBET,Software
POWW,Commercial Products
CRC,Exploration, Production and Refining
BW,Commercial Products
HROW,Pharmaceuticals and Biotechnology
IHRT,Media
AVD,Chemicals and Gases
GUTS,Pharmaceuticals and Biotechnology
BWMN,Commercial Services
MLAB,Commercial Products
DJT,IT Services
PAL,Commercial Transportation
MCW,Retail
CXAI,IT Services
ARQ,Chemicals and Gases
NGS,Energy Services
AAON,Commercial Products
MG,Commercial Services
PLUG,Commercial Products
BBIO,Pharmaceuticals and Biotechnology
ALTI,Capital Markets/Institutions
HPK,Exploration, Production and Refining
UPWK,IT Services
DSP,IT Services
AREN,IT Services
CBLL,Healthcare Devices and Supplies
BODI,Services (Non-Financial)
RDVT,Software
GCTS,Semiconductors
GPRO,Consumer Durables
IMDX,Other Healthcare
SHIM,Commercial Services
HFFG,Other Business Products and Services
GAME,Restaurants, Hotels and Leisure
RUM,IT Services
QMCO,Other Information Technology
GENK,Restaurants, Hotels and Leisure
RPAY,Commercial Services
ALCO,Agriculture
RKLB,Commercial Services
TCMD,Healthcare Devices and Supplies
PLBY,Retail
HNRG,Other Energy
TTEC,Commercial Services
GAIA,Media
ACHR,Commercial Products
EVC,Media
APEI,Services (Non-Financial)
PRPL,Consumer Durables
SRFM,Transportation
HIMS,Healthcare Services
WBTN,Media
PIII,Healthcare Services
BNGO,Healthcare Devices and Supplies
RPD,Software
QUBT,Software
EXOD,Other Financial Services
TELA,Healthcare Devices and Supplies
HQI,Commercial Services
ACM,Commercial Services
ACVA,Commercial Services
VREX,Healthcare Devices and Supplies
OPFI,Other Financial Services
DH,Software
NUS,Pharmaceuticals and Biotechnology
GETY,Commercial Services
FF,Chemicals and Gases
CNNE,Restaurants, Hotels and Leisure
HLIO,Commercial Products
BKD,Healthcare Services
BZH,Consumer Durables
SMC,Utilities
FLNT,Media
ARKR,Restaurants, Hotels and Leisure
BKKT,Other Financial Services
ASTS,Communications and Networking
AMTM,Commercial Services
AP,Commercial Products
TXNM,Utilities
ARMK,Restaurants, Hotels and Leisure
DRIO,Healthcare Devices and Supplies
CAH,Pharmaceuticals and Biotechnology
JBI,Commercial Products
AVXL,Pharmaceuticals and Biotechnology
DFH,Consumer Durables
FNWB,Commercial Banks
MASS,Commercial Products
BWEN,Commercial Products
NRXS,Healthcare Devices and Supplies
PESI,Commercial Services
SYBT,Commercial Banks
CLST,Commercial Banks
MIDD,Commercial Products
HBIO,Healthcare Devices and Supplies
NVRI,Commercial Services
FXNC,Commercial Banks
VSTS,Commercial Services
XTNT,Pharmaceuticals and Biotechnology
STIM,Healthcare Devices and Supplies
BCAX,Pharmaceuticals and Biotechnology
OPY,Capital Markets/Institutions
TONX,Capital Markets/Institutions
GHC,Other Business Products and Services
PFIS,Commercial Banks
SLSN,Consumer Non-Durables
INTS,Pharmaceuticals and Biotechnology
IMNN,Pharmaceuticals and Biotechnology
OPXS,Other Information Technology
NVNO,Healthcare Devices and Supplies
RXT,IT Services
LWLG,Containers and Packaging
RRBI,Restaurants, Hotels and Leisure
ACCS,Media
GLBZ,Commercial Banks
HTLD,Commercial Transportation
BOTJ,Commercial Banks
VALU,Capital Markets/Institutions
HWBK,Commercial Banks
ALZN,Pharmaceuticals and Biotechnology
HFBL,Commercial Banks
PEN,Healthcare Devices and Supplies
SWAG,Media
SINT,Healthcare Devices and Supplies
ULH,Commercial Transportation
MDAI,Healthcare Devices and Supplies
CTNM,Pharmaceuticals and Biotechnology
HOLX,Healthcare Devices and Supplies
UAMY,Commercial Products
ZYXI,Healthcare Devices and Supplies
FBLG,Pharmaceuticals and Biotechnology
BSBK,Commercial Banks
CLBK,Commercial Banks
CZFS,Commercial Banks
RBOT,Commercial Products
WKSP,Consumer Durables
PLPC,Construction (Non-Wood)
TIPT,Insurance
PBHC,Commercial Banks
FUSB,Commercial Banks
CLSD,Pharmaceuticals and Biotechnology
AQST,Pharmaceuticals and Biotechnology
IZEA,Media
STXS,Healthcare Devices and Supplies
TSHA,Pharmaceuticals and Biotechnology
LITE,Communications and Networking
NPCE,Healthcare Devices and Supplies
LENZ,Pharmaceuticals and Biotechnology
CDXS,Chemicals and Gases
NCMI,Media
BEEP,Other Financial Services
SMCI,Computer Hardware
OWLT,Healthcare Devices and Supplies
INTZ,Communications and Networking
ABSI,Pharmaceuticals and Biotechnology
PRSO,Semiconductors
BGS,Consumer Non-Durables
EVLV,Computer Hardware
PXLW,Semiconductors
INUV,Media
MLYS,Pharmaceuticals and Biotechnology
QUIK,Semiconductors
GRWG,Retail
HYLN,Commercial Products
HRB,Services (Non-Financial)
NN,Commercial Products
ATEX,Communications and Networking
RDNW,Retail
SNAL,Software
WRAP,Commercial Products
TACT,Computer Hardware
SEER,Healthcare Devices and Supplies
NRGV,Commercial Products
ROLR,Restaurants, Hotels and Leisure
CAVA,Restaurants, Hotels and Leisure
SES,Commercial Products
EML,Commercial Products
ATRO,Commercial Services
IPM,Commercial Services
USLM,Metals, Minerals and Mining
MRBK,Commercial Banks
DYN,Pharmaceuticals and Biotechnology
SMHI,Commercial Transportation
TFSL,Commercial Banks
TSBK,Commercial Banks
SLNG,Energy Services
EYE,Healthcare Devices and Supplies
EAT,Restaurants, Hotels and Leisure
PLX,Pharmaceuticals and Biotechnology
KTB,Apparel and Accessories
TRMB,Commercial Products
PFGC,Other Business Products and Services
ABOS,Pharmaceuticals and Biotechnology
LOCL,Agriculture
ALT,Pharmaceuticals and Biotechnology
LVO,Restaurants, Hotels and Leisure
PODC,IT Services
XTIA,IT Services
LQDA,Pharmaceuticals and Biotechnology
USGO,Metals, Minerals and Mining
NKSH,Commercial Banks
SCOR,Commercial Services
DFDV,Capital Markets/Institutions
HYPD,Capital Markets/Institutions
TENX,Pharmaceuticals and Biotechnology
CVV,Commercial Products
KSCP,Communications and Networking
MPTI,Commercial Products
CRWS,Textiles
AVIR,Pharmaceuticals and Biotechnology
KURA,Pharmaceuticals and Biotechnology
NSYS,Commercial Products
GO,Restaurants, Hotels and Leisure
OPRX,Commercial Services
JACK,Restaurants, Hotels and Leisure
DAIO,Commercial Products
DERM,Pharmaceuticals and Biotechnology
STAA,Healthcare Devices and Supplies
USIO,Capital Markets/Institutions
ALLO,Pharmaceuticals and Biotechnology
TLPH,Pharmaceuticals and Biotechnology
ICU,Healthcare Devices and Supplies
DYAI,Pharmaceuticals and Biotechnology
KE,Commercial Products
SPRO,Pharmaceuticals and Biotechnology
LGVN,Pharmaceuticals and Biotechnology
CSCO,Communications and Networking
CURI,Media
ENVX,Commercial Products
MXCT,Pharmaceuticals and Biotechnology
INO,Healthcare Devices and Supplies
HLIT,Communications and Networking
LVLU,Retail
STEM,Commercial Products
COHR,Other Information Technology
REZI,Other Business Products and Services
RRGB,Restaurants, Hotels and Leisure
SPIR,Communications and Networking
CYN,IT Services
SKYH,Other Financial Services
SPRU,Consumer Durables
SERA,Healthcare Devices and Supplies
SPCE,Transportation
BCDA,Pharmaceuticals and Biotechnology
INVE,Computer Hardware
RNXT,Pharmaceuticals and Biotechnology
FOSL,Other Consumer Products and Services
INLX,Software
LESL,Retail
WATT,Communications and Networking
ENS,Commercial Products
NNE,Utilities
MCHX,Commercial Services
SNFCA,Other Financial Services
SLND,Commercial Services
GWRS,Utilities
DLPN,Services (Non-Financial)
GREE,Other Financial Services
XXII,Pharmaceuticals and Biotechnology
YETI,Consumer Durables
RMTI,Pharmaceuticals and Biotechnology
HWH,Pharmaceuticals and Biotechnology
CAAS,Consumer Durables
AIT,Commercial Products
PTHS,Pharmaceuticals and Biotechnology
WWW,Apparel and Accessories
SBC,Healthcare Services
TPR,Apparel and Accessories
SBDS,Retail
XAIR,Healthcare Devices and Supplies
LMFA,Other Financial Services
CLRB,Pharmaceuticals and Biotechnology
LNSR,Healthcare Devices and Supplies
CREX,IT Services
HOWL,Pharmaceuticals and Biotechnology
AVAH,Healthcare Services
AMS,Healthcare Devices and Supplies
BKTI,Communications and Networking
CRMD,Pharmaceuticals and Biotechnology
FTLF,Pharmaceuticals and Biotechnology
ABEO,Pharmaceuticals and Biotechnology
BFRI,Pharmaceuticals and Biotechnology
INKT,Pharmaceuticals and Biotechnology
ONDS,Communications and Networking
LUNR,Commercial Products
AFCG,Other Financial Services
LUCD,Healthcare Devices and Supplies
SGRP,Commercial Services
NXPL,Communications and Networking
VENU,Restaurants, Hotels and Leisure
VYNE,Pharmaceuticals and Biotechnology
TGEN,Energy Equipment
NUWE,Healthcare Devices and Supplies
LIVE,Retail
SGA,Media
ISSC,IT Services
LWAY,Consumer Non-Durables
IPWR,Semiconductors
SWKH,Other Financial Services
SLNH,IT Services
WKHS,Consumer Durables
VERO,Healthcare Devices and Supplies
CNVS,Retail
SRXH,Capital Markets/Institutions
HIT,Insurance
MLSS,Commercial Products
XOS,Consumer Durables
XBP,Commercial Services
TPCS,Commercial Products
SPRY,Pharmaceuticals and Biotechnology
BAFN,Commercial Banks
INV,Other Financial Services
PETS,Retail
VERI,IT Services
AMAT,Semiconductors
AEYE,Software
ETON,Pharmaceuticals and Biotechnology
VUZI,Communications and Networking
BEAT,Healthcare Devices and Supplies
CODX,Healthcare Devices and Supplies
CELC,Healthcare Devices and Supplies
DARE,Pharmaceuticals and Biotechnology
DMRC,IT Services
QSI,Healthcare Devices and Supplies
GNSS,Consumer Durables
CBUS,Chemicals and Gases
TSSI,Commercial Services
WYY,IT Services
SMSI,Software
LSF,Consumer Non-Durables
REKR,Communications and Networking
ELUT,Pharmaceuticals and Biotechnology
IDN,Software
VTSI,Commercial Products
MDBH,Other Financial Services
TNON,Healthcare Devices and Supplies
HGBL,Commercial Services
ICCC,Healthcare Devices and Supplies
SRTS,Healthcare Devices and Supplies
GWH,Commercial Products
PED,Exploration, Production and Refining
NPWR,Commercial Products
MSAI,Other Information Technology
