event_date,ticker,predicted_percentile,realized_percentile,earnings_surprise_pct,car1_pct,status,rules_applied,expected_abnormal_return_pct,confidence,prompt_version
2026-08-10,AIOT,0.92,0.01,-0.91,-30.6,scored,,,,
2026-08-10,AIRS,0.18,0.0,-0.2,-45.1,scored,,,,
2026-08-10,AXSM,0.95,0.7,-0.06,3.9,scored,,,,
2026-08-10,CECO,0.95,0.45,0.23,-0.7,scored,,,,
2026-08-10,CEVA,0.95,0.06,0.13,-17.4,scored,,,,
2026-08-10,CNDT,0.85,0.17,0.0,-8.2,scored,,,,
2026-08-10,CRC,0.92,0.67,-0.71,3.2,scored,,,,
2026-08-10,FSTR,0.8,0.29,0.05,-4.1,scored,,,,
2026-08-10,GCMG,0.9,0.59,0.07,1.8,scored,,,,
2026-08-10,HRTX,0.04,0.01,-2.04,-31.7,scored,,,,
2026-08-10,INTT,0.9,0.23,0.28,-5.9,scored,,,,
2026-08-10,JRSH,0.9,0.68,0.2,3.4,scored,,,,
2026-08-10,LINC,0.83,0.03,0.12,-24.9,scored,,,,
2026-08-10,MPAA,0.93,0.16,-3.74,-8.8,scored,,,,
2026-08-10,NABL,0.13,0.01,0.2,-35.6,scored,,,,
2026-08-10,OPAL,0.29,0.88,-10.3,11.6,scored,,,,
2026-08-10,POWW,0.88,0.95,1.88,20.2,scored,,,,
2026-08-10,QTRX,0.07,0.0,-2.23,-39.9,scored,,,,
2026-08-10,RDNT,0.88,0.79,0.12,6.8,scored,,,,
2026-08-10,SBET,0.95,0.3,-29.39,-3.8,scored,,,,
2026-08-10,SGRY,0.85,0.64,0.32,2.7,scored,,,,
2026-08-10,SNDA,0.88,0.72,-0.3,4.2,scored,,,,
2026-08-10,TH,0.94,0.36,0.06,-2.6,scored,,,,
2026-08-10,TLS,0.89,0.08,1.26,-15.7,scored,,,,
2026-08-10,TNXP,0.13,0.73,1.66,4.7,scored,,,,
2026-08-10,VERU,0.91,0.94,0.86,18.9,scored,,,,
2026-08-11,AAON,0.24,0.31,0.21,-3.6,scored,,,,
2026-08-11,ACCS,0.25,0.06,0.0,-17.1,scored,,,,
2026-08-11,ACHR,0.94,0.84,-1.12,8.7,scored,,,,
2026-08-11,ACM,0.74,0.17,-2.7,-8.3,scored,,,,
2026-08-11,ACVA,0.92,0.5,-1.1,0.3,scored,,,,
2026-08-11,ALCO,0.86,0.78,2.61,6.2,scored,,,,
2026-08-11,ALTI,0.88,0.25,-1.3,-5.1,scored,,,,
2026-08-11,AP,0.94,0.9,,13.3,missing_data,,,,
2026-08-11,APEI,0.95,0.33,0.15,-3.3,scored,,,,
2026-08-11,AREN,0.38,0.02,-5.45,-27.0,scored,,,,
2026-08-11,ARKR,0.1,0.55,,1.1,missing_data,,,,
2026-08-11,ARMK,0.94,0.84,0.07,8.8,scored,,,,
2026-08-11,ARQ,0.17,0.85,0.0,9.9,scored,,,,
2026-08-11,ASTS,0.96,0.72,-0.09,4.4,scored,,,,
2026-08-11,AVD,0.83,0.29,,-4.1,missing_data,,,,
2026-08-11,BBIO,0.94,0.44,-0.22,-0.9,scored,,,,
2026-08-11,BCAX,0.95,0.09,-0.04,-14.1,scored,,,,
2026-08-11,BKD,0.87,0.17,1.02,-8.1,scored,,,,
2026-08-11,BKKT,0.09,0.33,-4.92,-3.4,scored,,,,
2026-08-11,BNGO,0.17,0.65,3.45,2.8,scored,,,,
2026-08-11,BODI,0.15,0.0,2.54,-38.2,scored,,,,
2026-08-11,BW,0.95,0.69,0.45,3.7,scored,,,,
2026-08-11,BWEN,0.76,0.95,-0.45,20.0,scored,,,,
2026-08-11,CAH,0.22,0.57,0.21,1.6,scored,,,,
2026-08-11,CBLL,0.95,0.87,-0.26,10.7,scored,,,,
2026-08-11,CNNE,0.85,0.57,8.87,1.6,scored,,,,
2026-08-11,DH,0.19,0.19,1.43,-7.6,scored,,,,
2026-08-11,DJT,0.1,0.26,,-4.9,missing_data,,,,
2026-08-11,DRIO,0.9,0.51,1.57,0.4,scored,,,,
2026-08-11,DSP,0.95,0.22,0.35,-6.1,scored,,,,
2026-08-11,EVC,0.17,0.04,,-20.9,missing_data,,,,
2026-08-11,EXOD,0.95,0.31,-8.65,-3.8,scored,,,,
2026-08-11,FF,0.94,0.96,,23.7,missing_data,,,,
2026-08-11,FLNT,0.8,0.34,0.47,-3.3,scored,,,,
2026-08-11,GAIA,0.1,0.01,0.53,-34.7,scored,,,,
2026-08-11,GAME,0.92,0.56,-23.24,1.3,scored,,,,
2026-08-11,GCTS,0.06,0.07,-6.94,-16.5,scored,,,,
2026-08-11,GENK,0.92,0.86,2.2,10.1,scored,,,,
2026-08-11,GETY,0.05,0.01,-18.02,-34.9,scored,,,,
2026-08-11,GPRO,0.1,0.12,-28.56,-11.2,scored,,,,
2026-08-11,GUTS,0.94,0.72,-2.96,4.2,scored,,,,
2026-08-11,HBIO,0.17,0.3,0.16,-3.8,scored,,,,
2026-08-11,HFFG,0.39,0.91,3.85,14.4,scored,,,,
2026-08-11,HIMS,0.6,0.31,-1.01,-3.7,scored,,,,
2026-08-11,HLIO,0.91,0.48,0.1,-0.3,scored,,,,
2026-08-11,HNRG,0.92,0.42,-1.39,-1.3,scored,,,,
2026-08-11,HPK,0.33,0.73,7.07,4.5,scored,,,,
2026-08-11,HQI,0.95,0.97,0.74,26.9,scored,,,,
2026-08-11,HROW,0.88,0.35,-0.54,-2.9,scored,,,,
2026-08-11,IHRT,0.24,0.04,-5.93,-20.6,scored,,,,
2026-08-11,IMDX,0.24,0.2,0.0,-6.9,scored,,,,
2026-08-11,IMNN,0.22,0.44,23.31,-1.0,scored,,,,
2026-08-11,INTS,0.29,0.4,-7.69,-1.8,scored,,,,
2026-08-11,JBI,0.09,0.24,0.37,-5.5,scored,,,,
2026-08-11,KLXE,0.92,0.01,8.04,-30.5,scored,,,,
2026-08-11,KOPN,0.95,0.96,0.24,23.8,scored,,,,
2026-08-11,LWLG,0.9,0.47,,-0.4,missing_data,,,,
2026-08-11,MASS,0.95,0.91,-2.05,14.0,scored,,,,
2026-08-11,MG,0.88,0.94,0.19,18.0,scored,,,,
2026-08-11,MIDD,0.22,0.19,0.17,-7.7,scored,,,,
2026-08-11,MLAB,0.22,0.85,0.28,9.7,scored,,,,
2026-08-11,MVST,0.05,0.44,-2.29,-0.9,scored,,,,
2026-08-11,NGS,0.89,0.48,0.38,-0.3,scored,,,,
2026-08-11,NRXS,0.88,0.19,1.89,-7.3,scored,,,,
2026-08-11,NUS,0.09,0.25,0.0,-5.2,scored,,,,
2026-08-11,NVRI,0.9,0.19,-1.33,-7.7,scored,,,,
2026-08-11,OPFI,0.17,0.03,-1.37,-24.6,scored,,,,
2026-08-11,PAL,0.92,0.02,-0.69,-29.3,scored,,,,
2026-08-11,PIII,0.13,0.33,9.9,-3.3,scored,,,,
2026-08-11,PLBY,0.95,0.92,0.85,15.5,scored,,,,
2026-08-11,PLUG,0.95,0.76,0.47,5.5,scored,,,,
2026-08-11,PRPL,0.13,0.04,7.25,-20.1,scored,,,,
2026-08-11,QMCO,0.95,1.0,3.06,64.9,scored,,,,
2026-08-11,QUBT,0.92,0.52,0.0,0.5,scored,,,,
2026-08-11,RDVT,0.88,0.84,0.29,8.7,scored,,,,
2026-08-11,RIOT,0.94,0.73,-1.8,4.6,scored,,,,
